mode,n,S,trial,comparisons,time_s
hybrid,1000,138,2,7216,0.0013090000720694661
hybrid,1000,138,3,7723,0.0018210000125691295
hybrid,1000,139,1,7317,0.001689000055193901
hybrid,1000,139,2,7374,0.0013615000061690807
hybrid,1000,139,3,7092,0.001395300030708313
hybrid,1000,140,1,7441,0.0013323999010026455
hybrid,1000,140,2,7820,0.0019207000732421875
hybrid,1000,140,3,7363,0.0011084999423474073
hybrid,1000,141,1,7081,0.0012438000412657857
hybrid,1000,141,2,7339,0.0018693999154493213
hybrid,1000,141,3,7588,0.0011717999586835504
hybrid,1000,142,1,7174,0.001075900043360889
hybrid,1000,142,2,7555,0.0017106999875977635
hybrid,1000,142,3,7614,0.0012348999734967947
hybrid,1000,143,1,7062,0.001104900031350553
hybrid,1000,143,2,7235,0.0010724000167101622
hybrid,1000,143,3,7480,0.001124400063417852
hybrid,1000,144,1,6978,0.00147430005017668
hybrid,1000,144,2,6916,0.0010717998957261443
hybrid,1000,144,3,7039,0.0010681001003831625
hybrid,1000,145,1,7334,0.001057799905538559
hybrid,1000,145,2,7216,0.0012556000147014856
hybrid,1000,145,3,7244,0.0010606000432744622
hybrid,1000,146,1,7404,0.0010711998911574483
hybrid,1000,146,2,7389,0.0010501999640837312
hybrid,1000,146,3,7312,0.0010557000059634447
hybrid,1000,147,1,7893,0.0018832000205293298
hybrid,1000,147,2,7385,0.0020077999215573072
hybrid,1000,147,3,7189,0.0011008000001311302
hybrid,1000,148,1,7506,0.001350899925455451
hybrid,1000,148,2,7384,0.0012320000678300858
hybrid,1000,148,3,7216,0.0011165000032633543
hybrid,1000,149,1,7103,0.0010433999123051763
hybrid,1000,149,2,7665,0.001433099969290197
hybrid,1000,149,3,7379,0.0014146000612527132
hybrid,1000,150,1,7657,0.0011706999503076077
hybrid,1000,150,2,7545,0.0011117999674752355
hybrid,1000,150,3,7156,0.0010441000340506434
hybrid,1000,151,1,7187,0.0010403000051155686
hybrid,1000,151,2,6985,0.0016357999993488193
hybrid,1000,151,3,7436,0.001105399918742478
hybrid,1000,152,1,7092,0.0010525999823585153
hybrid,1000,152,2,7580,0.001541999983601272
hybrid,1000,152,3,7437,0.0015329000307247043
hybrid,1000,153,1,7562,0.0011445999843999743
hybrid,1000,153,2,7486,0.001101900008507073
hybrid,1000,153,3,7315,0.0010847999947145581
hybrid,1000,154,1,7212,0.0010862000053748488
hybrid,1000,154,2,7639,0.001422200002707541
hybrid,1000,154,3,7647,0.0011461999965831637
hybrid,1000,155,1,7534,0.0010605000425130129
hybrid,1000,155,2,7226,0.0011208000360056758
hybrid,1000,155,3,7463,0.0010890999110415578
hybrid,1000,156,1,7412,0.0011760999914258718
hybrid,1000,156,2,7527,0.001182299922220409
hybrid,1000,156,3,7103,0.0010562000097706914
hybrid,1000,157,1,7098,0.0010810999665409327
hybrid,1000,157,2,7296,0.0010738000273704529
hybrid,1000,157,3,7056,0.0017163000302389264
hybrid,1000,158,1,7154,0.001075300038792193
hybrid,1000,158,2,7201,0.0010868998942896724
hybrid,1000,158,3,7284,0.0010994999902322888
hybrid,1000,159,1,7338,0.0010885000228881836
hybrid,1000,159,2,7331,0.0013537999475374818
hybrid,1000,159,3,7436,0.0011037999065592885
hybrid,1000,160,1,7332,0.0011021000100299716
hybrid,1000,160,2,7214,0.0010576000204309821
hybrid,1000,160,3,7381,0.0011248000664636493
hybrid,1000,161,1,7520,0.001330200000666082
hybrid,1000,161,2,7261,0.0013218000531196594
hybrid,1000,161,3,7416,0.0013026000233367085
hybrid,1000,162,1,7365,0.001133000012487173
hybrid,1000,162,2,7799,0.0017040999373421073
hybrid,1000,162,3,7589,0.001145699992775917
hybrid,1000,163,1,7192,0.0010797000722959638
hybrid,1000,163,2,7336,0.0010933999437838793
hybrid,1000,163,3,7156,0.0010319999419152737
hybrid,1000,164,1,7353,0.0012164999498054385
hybrid,1000,164,2,7617,0.0011612999951466918
hybrid,1000,164,3,7452,0.0010625000577419996
hybrid,1000,165,1,7238,0.0011108999606221914
hybrid,1000,165,2,7303,0.0010631000623106956
hybrid,1000,165,3,7280,0.001312499982304871
hybrid,1000,166,1,7641,0.0012280000373721123
hybrid,1000,166,2,7502,0.0012660999782383442
hybrid,1000,166,3,7563,0.0011518999235704541
hybrid,1000,167,1,7383,0.0020321999909356236
hybrid,1000,167,2,7557,0.001158999977633357
hybrid,1000,167,3,7402,0.0018340999959036708
hybrid,1000,168,1,7581,0.0018828000174835324
hybrid,1000,168,2,7232,0.0014299999456852674
hybrid,1000,168,3,7449,0.0012002000585198402
hybrid,1000,169,1,7587,0.002278400002978742
hybrid,1000,169,2,7168,0.002153900102712214
hybrid,1000,169,3,6995,0.0017637000419199467
hybrid,1000,170,1,7455,0.001750500057823956
hybrid,1000,170,2,7461,0.0012574000284075737
hybrid,1000,170,3,7250,0.0011613999959081411
hybrid,1000,171,1,7514,0.002036200021393597
