mode,n,S,trial,comparisons,time_s
hybrid,1373,73,3,11361,0.0036364999832585454
hybrid,1373,74,1,11290,0.0033318999921903014
hybrid,1373,74,2,11398,0.0035933000035583973
hybrid,1373,74,3,11268,0.003540599951520562
hybrid,1373,75,1,11258,0.0036077999975532293
hybrid,1373,75,2,11113,0.003398000029847026
hybrid,1373,75,3,11359,0.003990700002759695
hybrid,1373,76,1,11040,0.003665699972771108
hybrid,1373,76,2,11138,0.003861999954096973
hybrid,1373,76,3,11346,0.0036009999457746744
hybrid,1373,77,1,11189,0.0034724000142887235
hybrid,1373,77,2,11114,0.0031660000095143914
hybrid,1373,77,3,11427,0.003563100006431341
hybrid,1373,78,1,11300,0.003849299973808229
hybrid,1373,78,2,11208,0.003907400066964328
hybrid,1373,78,3,11428,0.004468800034373999
hybrid,1373,79,1,11454,0.004711200017482042
hybrid,1373,79,2,11277,0.004081999999471009
hybrid,1373,79,3,11300,0.003389399964362383
hybrid,1373,80,1,11198,0.003841299912892282
hybrid,1373,80,2,11216,0.003454799996688962
hybrid,1373,80,3,11418,0.0034175000619143248
hybrid,1887,0,1,18193,0.00849539996124804
hybrid,1887,0,2,18176,0.008194399997591972
hybrid,1887,0,3,18175,0.005783799919299781
hybrid,1887,1,1,18158,0.0077544000232592225
hybrid,1887,1,2,18172,0.00831899989861995
hybrid,1887,1,3,18204,0.008084199973382056
hybrid,1887,2,1,17881,0.007623699959367514
hybrid,1887,2,2,17942,0.004559100023470819
hybrid,1887,2,3,17972,0.005968600045889616
hybrid,1887,3,1,17791,0.00799210008699447
hybrid,1887,3,2,17786,0.004818500019609928
hybrid,1887,3,3,17774,0.005532899987883866
hybrid,1887,4,1,17650,0.004005299997515976
hybrid,1887,4,2,17683,0.007223999942652881
hybrid,1887,4,3,17594,0.006876199971884489
hybrid,1887,5,1,17665,0.006723699974827468
hybrid,1887,5,2,17612,0.006529700011014938
hybrid,1887,5,3,17615,0.014487600070424378
hybrid,1887,6,1,17709,0.008745099999941885
hybrid,1887,6,2,17649,0.008306799922138453
hybrid,1887,6,3,17642,0.014560900046490133
hybrid,1887,7,1,17462,0.006223900010809302
hybrid,1887,7,2,17490,0.0050113999750465155
hybrid,1887,7,3,17429,0.005278000026009977
hybrid,1887,8,1,17388,0.003583999932743609
hybrid,1887,8,2,17439,0.0034129000268876553
hybrid,1887,8,3,17359,0.004646899993531406
hybrid,1887,9,1,17494,0.004718499956652522
hybrid,1887,9,2,17401,0.003338300040923059
hybrid,1887,9,3,17316,0.00612789997830987
